neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,2,18,2018-12-17,1.79,1,0,100
Brooklyn,Fort Greene,40.68863,-73.97691,Private room,2,206,2019-06-30,1.92,2,0,65
Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,8,10,2019-05-12,0.11,5,365,350
Manhattan,Morningside Heights,40.80549,-73.95924,Private room,4,122,2019-05-14,1.18,2,233,99
Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,4,33,2019-04-08,0.58,1,1,200
Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,5,52,2019-06-05,0.5,1,18,150
Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,3,126,2019-05-19,1.17,4,343,90
Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,3,51,2019-06-24,0.48,3,250,120
Manhattan,Upper East Side,40.76834,-73.95334,Private room,3,199,2019-06-24,1.85,1,326,75
Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,26,30,2012-09-03,0.29,1,364,175
Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,3,3,2015-07-17,0.03,1,0,125
Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,1,41,2019-06-26,0.38,1,299,275
Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,2,109,2019-06-15,1.04,1,207,299
Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,5,151,2019-06-22,1.43,3,162,135
Manhattan,Upper East Side,40.77333,-73.95199,Private room,14,0,,,2,0,130
Manhattan,Lower East Side,40.72319,-73.99201,Private room,1,285,2019-06-22,2.69,1,7,83
Manhattan,Chelsea,40.74859,-73.99671,Private room,1,375,2019-06-18,3.52,1,328,123
Queens,Jamaica,40.67252,-73.76597,Private room,2,52,2019-05-20,0.49,2,365,55
